,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN,modelYearId,MarketValue
112,Allan Turner,Hyundai,Tucson,2019,11687.0,24696,KM8J33AL4KU021253,9265,21233.928571428572
113,Allan Turner,Chevrolet,Trax,2020,10232.0,24911,3GNCJLSB5LL204625,0,2600.0
114,Allan Turner,Chevrolet,Equinox,2019,32371.0,24930,3GNAXKEV7KS680000,9616,21620.0
115,Allan Turner,Toyota,RAV4,2018,47968.0,25100,JTMWFREV0JJ749541,8138,23914.70588235294
116,Allan Turner,Toyota,RAV4,2018,16547.0,25183,JTMZFREV7JJ727873,8138,23914.70588235294
117,Allan Turner,Nissan,Rogue Sport,2019,52434.0,25605,JN1BJ1CP8KW235267,9316,19329.166666666668
118,Allan Turner,Chevrolet,Silverado 1500,2017,162830.0,25841,3GCUKREC5HG174219,7788,29153.225806451614
119,Allan Turner,Kia,Sorento,2020,38806.0,25990,5XYPG4A5XLG634135,0,2600.0
120,Allan Turner,Dodge,Challenger,2015,41143.0,26127,2C3CDZBG2FH702894,7016,27085.714285714286
121,Allan Turner,Ford,F-150,2013,101024.0,26936,1FTFW1ET6DFB69914,6567,18207.8125
122,Allan Turner,GMC,Sierra 1500,2016,110847.0,26984,3GTU2LEH7GG156196,7555,27469.444444444445
123,Allan Turner,Kia,Sportage,2020,41114.0,26998,KNDPN3AC0L7661369,0,2600.0
124,Allan Turner,GMC,Canyon,2016,72367.0,26999,1GTG5CE35G1107778,7387,22539.583333333332
125,Allan Turner,Hyundai,Santa Fe XL,2019,24511.0,27325,KM8SM4HF5KU299778,0,2600.0
126,Allan Turner,BMW,X1,2018,50370.0,27375,WBXHU7C38J5H40119,8574,
127,Allan Turner,Jeep,Wrangler,2013,71207.0,27498,1C4BJWDG1DL506764,6499,
128,Allan Turner,Ford,Explorer,2017,73393.0,27840,1FM5K8D84HGC52136,7733,26625.0
129,Allan Turner,Chrysler,Pacifica,2017,66172.0,27899,2C4RC1GG6HR739818,7613,21775.0
130,Allan Turner,Hyundai,Tucson,2021,7090.0,27923,KM8J33A48MU288908,0,2600.0
131,Allan Turner,GMC,Acadia Limited,2017,58233.0,27986,1GKKRSKD6HJ192304,0,2600.0
132,Allan Turner,Land Rover,LR4,2015,90541.0,28508,SALAG2V6XFA776107,7204,
133,Allan Turner,Ford,Mustang,2018,30831.0,28997,1FA6P8TH5J5113667,8113,
134,Allan Turner,Volvo,XC90,2016,78935.0,29200,YV4A22PK1G1043295,7289,
135,Allan Turner,Hyundai,Tucson,2018,22369.0,29294,KM8J33A24JU692766,8697,18639.583333333332
136,Allan Turner,Honda,Odyssey,2016,52027.0,29469,5FNRL5H98GB007126,7460,20787.5
137,Allan Turner,Lincoln,MKZ,2020,41353.0,29503,3LN6L5A98LR609509,0,2600.0
138,Allan Turner,Chevrolet,Tahoe,2014,100989.0,29670,1GNSKCE02ER215113,6744,20937.5
139,Allan Turner,Hyundai,Santa Fe,2018,40645.0,29750,KM8SR4HF4JU283068,8277,24170.833333333332
140,Allan Turner,Ford,Mustang,2019,30490.0,29969,1FATP8UH3K5158934,9185,33497.22222222222
141,Allan Turner,Lincoln,MKC,2018,23328.0,29989,5LMCJ2D90JUL30691,8963,25537.5
142,Allan Turner,Dodge,Challenger,2020,12205.0,29999,2C3CDZAG8LH110462,0,2600.0
143,Allan Turner,Ford,F-150,2015,133796.0,30151,1FTEW1EG5FKE49235,6988,
144,Allan Turner,Hyundai,Sonata,2021,925.0,30499,5NPEJ4J29MH108460,0,2600.0
145,Allan Turner,Ford,Escape,2020,1128.0,30845,1FMCU9H60LUA67849,0,2600.0
146,Allan Turner,Chevrolet,Colorado,2017,55652.0,31135,1GCGTDEN6H1286539,7871,26456.666666666668
147,Allan Turner,Chevrolet,Colorado,2016,56896.0,31159,1GCGTDE32G1233897,7385,
148,Allan Turner,Chevrolet,Corvette,2007,24115.0,31311,1G1YY26U275125976,4709,
149,Allan Turner,Ram,1500 Classic,2019,52614.0,31488,1C6RR6TT6KS706829,9685,
150,Allan Turner,Dodge,Durango,2018,41211.0,31494,1C4RDJAG0JC317466,8134,31044.444444444445
151,Allan Turner,Jeep,Wrangler,2014,74028.0,31499,1C4BJWEG3EL257948,6903,23700.0
152,Allan Turner,Genesis,G80,2017,88798.0,31588,KMHGN4JF3HU180245,7683,28116.666666666668
153,Allan Turner,Chevrolet,Silverado 1500,2017,95347.0,31589,3GCPCREC5HG238933,7788,29153.225806451614
154,Allan Turner,Chevrolet,Tahoe,2016,106108.0,31643,1GNSKAEC0GR345926,7376,33833.333333333336
155,Allan Turner,Toyota,RAV4,2020,12342.0,31804,2T3W1RFV6LC084423,0,2600.0
156,Allan Turner,Chevrolet,Colorado,2021,23533.0,31957,1GCGSBEN1M1104604,0,2600.0
157,Allan Turner,GMC,Canyon,2018,19626.0,31965,1GTG5CEN7J1233021,8877,29215.0
158,Allan Turner,Toyota,Highlander,2017,52077.0,31998,5TDKZRFH6HS508790,7651,28120.833333333332
159,Allan Turner,Ram,1500,2016,106245.0,32065,1C6RR7PT0GS273712,7543,25197.58064516129
160,Allan Turner,Toyota,Avalon,2019,7661.0,32389,4T1BZ1FBXKU003864,9176,
161,Allan Turner,GMC,Acadia,2019,40586.0,32640,1GKKNMLS4KZ279132,9322,28427.272727272728
162,Allan Turner,Mercedes-Benz,E-Class,2017,61473.0,32998,WDDZF4KB6HA122742,7602,
163,Allan Turner,Jeep,Wrangler JK,2018,75938.0,33486,1C4BJWDG6JL844625,0,2600.0
164,Allan Turner,Hyundai,Tucson,2021,9676.0,33556,KM8J33ALXMU304081,0,2600.0
