VIN,Dealer,Make,MarketValue,Mileage,Model,Price,Year,modelYearId
3GTU2PEJ4HG385379,Allan Turner,Gmc,30288.888888888887,34138.0,Sierra 1500,46087.0,2017,7596
3GTU2NEC0JG211823,Allan Turner,Gmc,32937.5,30320.0,Sierra 1500,46573.0,2018,8878
1GYS4DKJ4GR364822,Allan Turner,Cadillac,,67871.0,Escalade,46994.0,2016,7370
1GNSCBKC6LR108942,Allan Turner,Chevrolet,2600.0,26923.0,Tahoe,48112.0,2020,0
1FT7W2BT8KEE57158,Allan Turner,Ford,2600.0,68208.0,F-250SD,48467.0,2019,0
3GCUYEET5LG268018,Allan Turner,Chevrolet,2600.0,1938.0,Silverado 1500,48887.0,2020,0
1GCUYEET6LZ160037,Allan Turner,Chevrolet,2600.0,3958.0,Silverado 1500,48887.0,2020,0
1GC1KSEY0KF208081,Allan Turner,Chevrolet,,53115.0,Silverado 2500HD,48939.0,2019,9716
1GKS1HKJ2HR293647,Allan Turner,Gmc,,34162.0,Yukon XL,49787.0,2017,7832
JTJBM7FX8K5210486,Allan Turner,Lexus,49300.0,13600.0,GX,49879.0,2019,9742
1FT7W2BT7KEC16613,Allan Turner,Ford,2600.0,43555.0,F-250SD,50499.0,2019,0
1FT7W2BT9KEC16791,Allan Turner,Ford,2600.0,46399.0,F-250SD,50623.0,2019,0
1FTEW1E52JFA25415,Allan Turner,Ford,34787.5,20018.0,F-150,50821.0,2018,8096
1N6AA1EDXLN506622,Allan Turner,Nissan,2600.0,768.0,Titan,51564.0,2020,0
1GC1KSEY5KF225247,Allan Turner,Chevrolet,,63053.0,Silverado 2500HD,51749.0,2019,9716
1GC1KXE84GF279479,Allan Turner,Chevrolet,,73500.0,Silverado 2500HD,51785.0,2016,7509
3GTU9DED8LG145054,Allan Turner,Gmc,2600.0,6685.0,Sierra 1500,51920.0,2020,0
1FT7W2BT0GEA95656,Allan Turner,Ford,2600.0,57560.0,F-250SD,53632.0,2016,0
JN1AR54F19M251589,Allan Turner,Nissan,42325.0,58389.0,GT-R,54987.0,2009,5165
5LMJJ2LT8JEL04869,Allan Turner,Lincoln,62472.5,47678.0,Navigator,62695.0,2018,7668
WA1AVAF11KD008304,Allan Turner,Audi,60816.66666666666,4183.0,Q8,64005.0,2019,9593
1GT42WEY5KF154975,Allan Turner,Gmc,,38838.0,Sierra 3500HD,65056.0,2019,9719
1GT12SEY1KF269598,Allan Turner,Gmc,,7084.0,Sierra 2500HD,67095.0,2019,9718
AAAAAAAAAAAAAAAAA,Pensacola Auto Dealers,Toyota,5375.0,130000.0,Prius,4700.0,2007,4821
AAAAAAAAAAAAAAAAB,Pensacola Auto Dealers,Ford,8150.78125,184000.0,F-150,4800.0,2008,5042
AAAAAAAAAAAAAAAAC,Pensacola Auto Dealers,Hyundai,8716.666666666666,90000.0,Veloster,5500.0,2013,6393
AAAAAAAAAAAAAAAAD,Pensacola Auto Dealers,Kia,6816.666666666668,140000.0,Soul,3900.0,2012,6121
AAAAAAAAAAAAAAAAE,Pensacola Auto Dealers,Hyundai,5591.666666666668,77000.0,Sonata,4900.0,2009,5166
AAAAAAAAAAAAAAAAF,Pensacola Auto Dealers,Ford,5501.08695652174,117000.0,F-150,4700.0,2005,4171
KNDJF724887519506,Hill Kelly Dodge,Kia,,115625.0,Sportage,4975.0,2008,5061
1G1PG5SC8C7283427,Hill Kelly Dodge,Chevrolet,6337.5,116901.0,Cruze,6750.0,2012,6214
JM1BL1VF9C1504533,Hill Kelly Dodge,Mazda,2600.0,105431.0,Mazda3,6950.0,2012,0
19XFA1F61BE013603,Hill Kelly Dodge,Honda,6720.0,134199.0,Civic,7750.0,2011,5909
1D7HE38K59S794447,Hill Kelly Dodge,Dodge,,168967.0,Dakota,7950.0,2009,5321
JM1BL1M77C1678210,Hill Kelly Dodge,Mazda,2600.0,114108.0,Mazda3,7950.0,2012,0
5NPEC4AC2BH305468,Hill Kelly Dodge,Hyundai,6925.0,117372.0,Sonata,7950.0,2011,5763
