VIN,Dealer,Make,Mileage,Model,Price,Year,modelYearId,MarketValue
5NPE34AF8HH583438,Allan Turner,Hyundai,65382.0,Sonata,15982,2017,7737,17156.81818181818
WBA3B5C51DF592598,Allan Turner,Bmw,59927.0,3 Series,15986,2013,6482,14333.333333333336
KMHD84LFXJU704388,Allan Turner,Hyundai,26017.0,Elantra,15987,2018,8280,14831.25
KMHD84LF3KU806391,Allan Turner,Hyundai,24245.0,Elantra,15997,2019,9724,16163.636363636364
5XXGT4L35JG194432,Allan Turner,Kia,33025.0,Optima,16141,2018,8227,17690.625
2GNALBEK6H1548710,Allan Turner,Chevrolet,49572.0,Equinox,16215,2017,7728,16450.0
1GNSCJE07DR178026,Allan Turner,Chevrolet,129225.0,Suburban 1500,16244,2013,0,2600.0
5NPD84LF0HH116752,Allan Turner,Hyundai,27703.0,Elantra,16311,2017,7556,13708.333333333336
2G1145S32G9142906,Allan Turner,Chevrolet,76738.0,Impala,16320,2016,7379,12352.777777777776
JM3KE2CY0G0832964,Allan Turner,Mazda,68377.0,CX-5,16426,2016,7257,15941.666666666664
2GNALCEK0H6248217,Allan Turner,Chevrolet,61386.0,Equinox,16471,2017,7728,16450.0
5XYZU3LA9EG182400,Allan Turner,Hyundai,46764.0,Santa Fe Sport,16548,2014,6931,12556.25
KM8J33A46HU421400,Allan Turner,Hyundai,59711.0,Tucson,16571,2017,7736,17362.5
5NPE24AF6JH703603,Allan Turner,Hyundai,25004.0,Sonata,16588,2018,8220,19606.666666666668
ZACCJBBB3HPF62405,Allan Turner,Jeep,53870.0,Renegade,16642,2017,7742,16725.0
JN1BJ1CRXKW626356,Allan Turner,Nissan,34583.0,Rogue Sport,16658,2019,9316,19329.166666666668
KM8J33A22GU176401,Allan Turner,Hyundai,59709.0,Tucson,16674,2016,7327,15493.75
3VWC57BU9KM075011,Allan Turner,Volkswagen,31393.0,Jetta,16691,2019,9173,20202.08333333333
5NPE24AF9JH615743,Allan Turner,Hyundai,28364.0,Sonata,16934,2018,8220,19606.666666666668
WDDGF4HB1EG219533,Allan Turner,Mercedes-benz,53288.0,C-Class,16989,2014,6874,17095.0
1G1ZE5ST4HF105574,Allan Turner,Chevrolet,33025.0,Malibu,17058,2017,7802,16730.0
1G1BE5SM4H7187634,Allan Turner,Chevrolet,7547.0,Cruze,17342,2017,7612,13439.285714285714
KL4CJASB7KB708200,Allan Turner,Buick,37773.0,Encore,17426,2019,9287,18182.14285714286
WVGUV7AX4HK019668,Allan Turner,Volkswagen,41962.0,Tiguan,17448,2017,7775,16232.5
KM8J23A48KU912030,Allan Turner,Hyundai,51792.0,Tucson,17543,2019,9265,21233.928571428565
