,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN
184,Pete Moore,Toyota,Tacoma,2016,37601,32995,3TMAZ5CN3GM017641
185,Pete Moore,Ram,1500 Classic,2019,51766,32995,1C6RR6LT0KS600764
186,Pete Moore,Ram,1500,2018,49800,32995,1C6RR6KT0JS279891
187,Pete Moore,Chrysler,Pacifica,2020,52997,32995,2C4RC1BG5LR125102
188,Pete Moore,GMC,Sierra 1500,2020,14238,32995,3GTN8AEH1LG155031
189,Pete Moore,INFINITI,QX80,2015,76587,32995,JN8AZ2NE3F9086567
190,Pete Moore,Chevrolet,Silverado 1500,2020,15544,32995,3GCNWAEF3LG338578
191,Pete Moore,Honda,Pilot,2017,29800,32995,5FNYF5H58HB010772
192,Pete Moore,Alfa Romeo,Stelvio,2018,32499,32995,ZASFAKAN4J7B87627
193,Pete Moore,Chevrolet,Silverado 1500,2015,109587,33575,3GCUKSEJ5FG321285
194,Pete Moore,Chevrolet,Colorado,2021,4328,33995,1GCGSBEA0M1107281
195,Pete Moore,Ford,Mustang,2019,24940,33995,1FATP8UH2K5151280
196,Pete Moore,Chevrolet,Colorado,2019,19956,34575,1GCGSBEN8K1107870
197,Pete Moore,Ford,F-150,2017,63254,34575,1FTEW1CF2HKD11312
198,Pete Moore,Nissan,Frontier,2018,37067,34575,1N6AD0EV7JN715551
199,Pete Moore,Chevrolet,Silverado 1500,2015,31313,34995,3GCPCREC5FG528571
200,Pete Moore,Ram,1500,2015,68969,34995,1C6RR7NT8FS551340
201,Pete Moore,,,2014,43104,34995,3C6TR5H21EG105677
202,Pete Moore,GMC,Canyon,2018,23083,34995,1GTG5CEN3J1139296
203,Pete Moore,Nissan,Frontier,2021,98,34995,1N6ED0EA4MN710763
204,Pete Moore,Honda,Odyssey,2018,74309,34995,5FNRL6H70JB084052
205,Pete Moore,Lincoln,MKC,2018,29445,35575,5LMCJ3C90JUL00405
206,Pete Moore,Chevrolet,Suburban,2016,102590,35995,1GNSKHKC6GR451326
207,Pete Moore,Chevrolet,Silverado 1500,2017,14469,35995,1GCVKREH9HZ211398
208,Pete Moore,Ford,Expedition,2017,76524,35995,1FMJU1KT5HEA25055
209,Pete Moore,Buick,Enclave,2020,53203,35995,5GAERBKW3LJ110663
210,Pete Moore,Jeep,Grand Cherokee,2020,58788,35995,1C4RJFBG3LC193555
211,Pete Moore,Chevrolet,Camaro,2022,0,36950,1G1FE1R74N0100460
212,Pete Moore,Chevrolet,Camaro,2017,68647,36995,1G1FF1R79H0169274
213,Pete Moore,Ford,Ranger,2020,51458,36995,1FTER4FH7LLA10348
214,Pete Moore,Jeep,Wrangler Unlimited,2016,56665,36995,1C4BJWEG6GL150010
215,Pete Moore,Chevrolet,Tahoe,2016,91320,36995,1GNSCBKC0GR212476
216,Pete Moore,Chevrolet,Silverado 1500,2017,60158,36995,1GCVKREC8HZ180200
217,Pete Moore,Ford,F-150,2015,100151,37975,1FTEW1EGXFFB61929
218,Pete Moore,Volvo,S60,2020,12161,37975,7JRA22TK2LG031013
219,Pete Moore,Alfa Romeo,Stelvio,2018,19821,37975,ZASFAKNN3J7B79822
220,Pete Moore,Chevrolet,Traverse,2018,9264,37995,1GNERGKW1JJ241543
221,Pete Moore,Ford,Expedition,2017,68306,37995,1FMJU1KT7HEA81496
222,Pete Moore,Chevrolet,Silverado 3500HD,2014,37807,37995,1GC4KZCG6EF108975
223,Pete Moore,GMC,Canyon,2018,68806,37995,1GTG6DEN7J1192084
224,Pete Moore,Cadillac,XT5,2019,64151,37995,1GYKNCRSXKZ122521
225,Pete Moore,Chevrolet,Silverado 1500,2017,95390,38975,3GCUKSEC9HG331659
226,Pete Moore,Chevrolet,Express Passenger,2019,48071,38995,1GAZGPFG5K1199830
227,Pete Moore,Toyota,Tacoma,2018,52727,38995,5TFCZ5ANXJX122335
228,Pete Moore,Nissan,Armada,2017,91628,38995,JN8AY2ND6H9000584
229,Pete Moore,Hyundai,Palisade,2020,21431,38995,KM8R14HE0LU091162
230,Pete Moore,GMC,Yukon,2015,93830,39775,1GKS1CKJ4FR291074
231,Pete Moore,Chevrolet,Silverado 1500,2018,41686,39975,1GCVKREC7JZ141541
232,Pete Moore,Chevrolet,Colorado,2018,62888,39995,1GCGTEEN0J1157577
233,Pete Moore,Chevrolet,Express Cargo Van,2019,50238,39995,1GCZGHFG3K1271282
234,Pete Moore,Chevrolet,Traverse,2021,5555,39995,1GNERFKW1MJ215118
235,Pete Moore,Toyota,Tundra 2WD Truck,2016,71749,39995,5TFGW5F17GX198734
236,Pete Moore,Ford,Explorer,2020,11928,39995,1FMSK7DH9LGC49769
237,Pete Moore,Chevrolet,Silverado 1500,2017,43415,39995,3GCUKREC1HG265035
238,Pete Moore,Chevrolet,Silverado 1500,2018,52498,39995,3GCUKREC4JG343295
239,Pete Moore,Chevrolet,Silverado 1500,2018,28999,40995,3GCUKREC2JG517834
240,Pete Moore,Chevrolet,Silverado 1500,2019,69332,40995,3GCPWDED6KG138026
241,Pete Moore,Chevrolet,Silverado 1500,2019,38394,41575,1GCRWCED5KZ333733
242,Pete Moore,Chevrolet,Traverse,2021,0,41690,1GNERHKW9MJ252560
243,Pete Moore,Chevrolet,Traverse,2021,0,41690,1GNERHKW0MJ253418
244,Pete Moore,Chevrolet,Silverado 1500,2018,10572,41995,3GCPCREC4JG573946
245,Pete Moore,Jeep,Grand Cherokee,2018,34000,41995,1C4RJFLTXJC349325
246,Pete Moore,GMC,Sierra 1500,2017,28544,42575,3GTP1NEC7HG271575
247,Pete Moore,Chevrolet,Traverse,2021,0,42685,1GNERHKWXMJ251689
248,Pete Moore,Chevrolet,Silverado 1500,2021,0,42720,1GCPWCED2MZ433153
249,Pete Moore,Chevrolet,Silverado 1500,2021,0,42720,1GCPWCED0MZ434835
