,Dealer,Manufacturer,MarketValue,Mileage,Model,Price,VIN,Year,modelYearId
80,Allan Turner,Volkswagen,20202.083333333332,31393.0,Jetta,16691,3VWC57BU9KM075011,2019,9173
81,Allan Turner,Hyundai,15350.0,67755.0,Santa Fe,16919,KM8SN4HF3FU099355,2015,7120
82,Allan Turner,Hyundai,19606.666666666668,28364.0,Sonata,16934,5NPE24AF9JH615743,2018,8220
83,Allan Turner,Chevrolet,16450.0,37943.0,Equinox,16992,2GNALBEK4H1552500,2017,7728
84,Allan Turner,Chevrolet,16730.0,33025.0,Malibu,17058,1G1ZE5ST4HF105574,2017,7802
85,Allan Turner,Hyundai,19606.666666666668,13463.0,Sonata,17066,5NPE24AF3JH636040,2018,8220
86,Allan Turner,Dodge,19600.0,17432.0,Journey,17161,3C4PDCBBXKT784230,2019,9677
87,Allan Turner,Mitsubishi,15089.285714285714,25606.0,Outlander,17186,JA4AD3A30HZ067508,2017,7649
88,Allan Turner,Chevrolet,13439.285714285714,7547.0,Cruze,17342,1G1BE5SM4H7187634,2017,7612
89,Allan Turner,Hyundai,,60670.0,Santa Fe Sport,17496,5XYZW4LA0FG273928,2015,7121
90,Allan Turner,Hyundai,21233.928571428572,51792.0,Tucson,17543,KM8J23A48KU912030,2019,9265
91,Allan Turner,Hyundai,19606.666666666668,19412.0,Sonata,17580,5NPE24AF3JH602597,2018,8220
92,Allan Turner,Chevrolet,17854.166666666668,10185.0,Trax,17683,3GNCJLSB0KL385745,2019,9670
93,Allan Turner,Dodge,18091.666666666668,35724.0,Grand Caravan,17779,2C4RDGCG3KR693328,2019,9639
94,Allan Turner,Hyundai,17156.81818181818,34629.0,Sonata,17994,5NPE34AF9HH482814,2017,7737
95,Allan Turner,Kia,17645.833333333332,29920.0,Sportage,17999,KNDPN3AC7H7293523,2017,7557
96,Allan Turner,Toyota,,107985.0,Tacoma,18006,5TFTX4GN0DX016021,2013,6551
97,Allan Turner,Ford,24866.666666666668,88764.0,Mustang,18037,1FATP8EMXG5290785,2016,7502
98,Allan Turner,Chevrolet,19556.666666666668,40750.0,Equinox,18044,3GNAXJEV9JS556643,2018,7991
