,Dealer,Manufacturer,Mileage,Model,Price,VIN,Year,modelYearId,MarketValue
18,Allan Turner,NISSAN,91241.0,Altima,10561.0,1N4AL3AP9DN545962,2013,6412,8240.625
19,Allan Turner,KIA,94425.0,Optima,10648.0,5XXGN4A76EG294867,2014,6917,11246.428571428569
20,Allan Turner,CHRYSLER,105466.0,200,10747.0,1C3CCCAB3GN125095,2016,7450,13587.5
21,Allan Turner,HYUNDAI,98912.0,Genesis,11145.0,KMHGC4DDXDU254089,2013,6506,12062.5
22,Allan Turner,HONDA,106014.0,Accord,11450.0,1HGCP3F84BA010455,2011,5910,8634.09090909091
23,Allan Turner,HYUNDAI,105447.0,Santa Fe,11661.0,5XYZT3LB3DG110344,2013,6451,11243.75
24,Allan Turner,CHRYSLER,62262.0,200,11700.0,1C3BCBGGXEN136214,2014,6838,8840.625
25,Allan Turner,FORD,71636.0,Edge,11749.0,2FMDK3GC5DBB42163,2013,6372,11840.625
26,Allan Turner,NISSAN,85020.0,Altima,11856.0,1N4AL3AP8FN340152,2015,7106,11121.875
27,Allan Turner,DODGE,101190.0,Grand Caravan,11887.0,2C4RDGEG5HR696835,2017,7779,14875.0
28,Allan Turner,KIA,82914.0,Sorento,11949.0,5XYKT3A60FG661423,2015,7015,14870.0
29,Allan Turner,MERCEDES-BENZ,80492.0,C-Class,11990.0,WDDGF4HBXCR240740,2012,6194,13652.5
30,Allan Turner,CHRYSLER,71363.0,200,12165.0,1C3CCCBB7FN735594,2015,6965,11725.0
31,Allan Turner,HYUNDAI,75188.0,Elantra,12291.0,KMHD74LF0HU141591,2017,7556,13708.333333333336
32,Allan Turner,FORD,147491.0,F-250SD,12494.0,1FTSW20PX5EA61141,2005,0,2600.0
33,Allan Turner,LEXUS,123233.0,RX,12499.0,2T2BK1BA7AC046863,2010,5453,12543.75
34,Allan Turner,GMC,179057.0,Sierra 1500,12545.0,1GTEC29089Z275183,2009,5253,10936.458333333334
35,Allan Turner,KIA,62190.0,Soul,12595.0,KNDJP3A58G7295264,2016,7441,11800.0
36,Allan Turner,HYUNDAI,73443.0,Sonata,12641.0,5NPE34AF4FH084147,2015,7019,12853.125
37,Allan Turner,FORD,32306.0,Focus,12666.0,1FADP3F23JL226966,2018,8695,16332.5
38,Allan Turner,CADILLAC,94819.0,ATS,12753.0,1G6AJ5SX6D0125571,2013,6380,12285.0
39,Allan Turner,TOYOTA,141528.0,Tundra,12759.0,5TBRV54167S471434,2007,4575,11207.5
40,Allan Turner,KIA,63178.0,Sedona,12859.0,KNDMB5C10F6057589,2015,7063,12190.0
41,Allan Turner,CHEVROLET,85108.0,Equinox,12929.0,2GNALBEK9E6235228,2014,6778,10687.5
42,Allan Turner,CHEVROLET,171985.0,Tahoe,12956.0,1GNUCCE0XAR127197,2010,5561,12059.375
43,Allan Turner,VOLKSWAGEN,49878.0,Jetta,12997.0,3VWD67AJXGM356637,2016,7424,13531.25
44,Allan Turner,CHEVROLET,1378.0,Spark,13298.0,KL8CD6SA5LC406314,2020,0,2600.0
45,Allan Turner,KIA,61482.0,Soul,13308.0,KNDJP3A51J7513178,2018,8656,14592.857142857143
46,Allan Turner,HYUNDAI,47989.0,Sonata,13414.0,5NPEC4AC0EH816083,2014,6852,11014.285714285714
47,Allan Turner,TOYOTA,127544.0,Tacoma,13494.0,3TMJU62N16M010885,2006,4255,8927.272727272728
48,Allan Turner,CHEVROLET,44192.0,Trax,13640.0,3GNCJKSBXHL246757,2017,7627,14645.833333333336
49,Allan Turner,HYUNDAI,97751.0,Santa Fe,13663.0,KM8SM4HF2EU046647,2014,6918,12962.5
50,Allan Turner,INFINITI,173635.0,QX56,13776.0,JN8AZ2ND6B9701078,2011,0,2600.0
51,Allan Turner,HYUNDAI,75934.0,Sonata,13923.0,5NPE34AF0GH409975,2016,7516,15242.5
52,Allan Turner,KIA,110199.0,Sorento,13971.0,5XYPG4A51GG002016,2016,7253,19385.0
53,Allan Turner,HYUNDAI,81380.0,Santa Fe Sport,14034.0,5XYZU3LB9EG199108,2014,6931,12556.25
54,Allan Turner,NISSAN,98749.0,Rogue,14106.0,KNMAT2MV4GP696764,2016,7540,8670.0
55,Allan Turner,HYUNDAI,52714.0,Elantra,14209.0,5NPD84LF0JH252028,2018,8280,14831.25
56,Allan Turner,MITSUBISHI,50240.0,Outlander,14301.0,JA4AD2A33GZ064045,2016,7331,13300.0
57,Allan Turner,HYUNDAI,43534.0,Sonata,14659.0,5NPE34AF2FH101091,2015,7019,12853.125
58,Allan Turner,HYUNDAI,92402.0,Santa Fe,14682.0,KM8SM4HF6HU175513,2017,7631,22118.75
59,Allan Turner,HYUNDAI,43050.0,Elantra,14725.0,5NPD84LF8JH368111,2018,8280,14831.25
60,Allan Turner,TOYOTA,97896.0,Avalon,14790.0,4T1BK1EB0DU046795,2013,6441,13496.428571428569
